,LIST #,PART NAME,REF,NOTE,Price,,PER BUILD,BUILDS,TOTAL,
FRAME,11,GEPRC CineLog35 V3 ELRS (NO VTX),,,$216.99,USD,1,20,20,"$4,339.80"
VTX,17,GEPRC RAD Mini 1W VTX,,20x20 VTX,$46.99,CAD,1,20,20,$939.80
CAM,17,CADDXFPV Ratel Pro,,CAM,$69.99,CAD,1,20,20,"$1,399.80"
ANT,4,VTX/VRX Antenna,,,$17.99,CAD,1,20,20,$359.80
MOTORS,23,GEPRC SPEEDX2 2105.5 2650KV,,SPARE MOTORS,$31.49,CAD,1,20,20,$629.80
PROPS,34,HQProp Duct T90x3 Grey (2xCW/2xCCW),,SPARE PROPS,$3.89,CAD,2,20,40,$155.60
BAT AIR,25,Tattu R-Line V6.0 ST 1300mAh 6S 160C Lipo XT60,,,$52.89,CAD,2,20,40,"$2,115.60"
GOGGLES,25,HDZero Box,,,$514.99,CAD,1,8,8,"$4,119.92"
GOGGLES,25,HDZero Goggles 2,,,$514.99,CAD,1,2,2,"$1,029.98"
ANT,4,VTX/VRX Antenna,,,$17.99,CAD,1,20,20,$359.80
TX,25,TX15 MAX,,,$205.99,CAD,1,5,5,"$1,029.95"
,,,,,,,,,,"$16,479.85"
