,,,,,,,
TYPE,LIST,NAME,PRICE,UNITS,TOTAL,"$32,803.52",
ANTENNA AIR,22,TrueRC Core RHCP Antenna,$21.99,20,$439.80,,RTS = READY TO SHIP 
ANTENNA AIR,22,TrueRC Core RHCP SMA Antenna,$21.99,12,$263.88,,
ANTENNA AIR,22,TrueRC X-AIR 5.8 MK II LHCP Antenna Combo For HDZero Goggles One RHCP one LHCP,$132.99,2,$265.98,NEW,
BAT AIR,24,Tattu R-Line V6.0 ST 1300mAh 6S 160C Lipo XT60,$53.99,40,"$2,159.60",RTS,
BAT AIR,24,More Volts 3S1P 4000mAh 70A Li-Ion Battery,$49.99,6,$299.94,RTS,
BAT AIR,24,GNB 5000mAh 2S Li-ion XT30,$23.99,5,$119.95,,
BAT AIR,24,Tattu 550mAh 2S HV 95C Lipo XT30 (Long),$13.99,20,$279.80,NEW,
BAT AIR,24,GNB LiHV 3S 11.4V 720mAh 100C XT30 LiPo Battery,$16.99,20,$339.80,NEW,
BAT AIR,24,BetaFPV Lava II 1S 580mAh HV 95C LiHV Battery - BT2.0 (4pc),$33.99,3,$101.97,NEW,
BNF,37,TBS Chupito Flying Wing (Set),$320.99,4,"$1,283.96",NEW,
BNF,37,HappyModel Mobula8 Freestyle O4 ELRS,$334.99,2,$669.98,NEW,
BNF,37,BetaFPV Pavo 20 Pro II Brushless - ELRS,$156.99,2,$313.98,NEW,
BNF,37,HappyModel Mobula8 Freestyle HDZero ELRS,$309.99,2,$619.98,NEW,
BNF,37,Flywoo Flybee 20 HDZero Ultralight - ELRS 2.4,$383.99,2,$767.98,NEW,
BNF,37,Flywoo Explorer LR 4 for O4 Lite Sub250 Drone,$247.99,2,$495.98,NEW,
CAM1,19,Caddx Ratel PRO FPV Camera,$72.99,20,"$1,459.80",,
ESC,15,Skystars Talon32 40A AM32 ESC,$18.99,1,$18.99,NEW,
ESC,15,Skystars Jupiter Single 80A SL80A Blheli_32 ESC,$66.99,1,$66.99,NEW,
FRAME,11,RVS Ducted 3.5 Frame,$179.99,20,"$3,599.80",,
FRAME,11,RVS 10 in Frame,$229.99,4,$919.96,NEW,
FRAME,11,RVS 8 in Frame,$224.99,1,$224.99,NEW,
FRAME,11,RVS 5in Frame,$129.99,1,$129.99,NEW,
GOGGLES,47,HDZero BoxPro+ Goggles,$515.99,5,"$2,579.95",RTS,
GOGGLES,47,HDZero Goggles 2 (White),"$1,480.00",1,"$1,480.00",RTS,Added here from missing item
MOTORS,23,2006-2750KV Motors,$29.99,80,"$2,399.20",RTS,
MOTORS,23,RCINPOWER AOS Supernova 1605-3900KV Motor,$26.99,12,$323.88,NEW,
MOTORS,23,KST DS215MG V8.0 Digital Metal Gear Micro Servo,$49.99,8,$399.92,NEW,
PROPS,34,HQ Prop 3.5X2.2X3 Propeller - (2CW+2CCW),$3.99,40,$159.60,,
RX,21,Radiomaster XR1 ExpressLRS Receiver (2.4G),$17.99,20,$359.80,RTS,
RX,21,GEPRC ELRS Nano 915Mhz PA500 Receiver,$32.99,4,$131.96,NEW,
STACK,16,Axisflying 20x20 F7 40A Stack,$178.99,20,"$3,579.80",RTS,
TX,46,RadioMaster TX15 MAX Radio Controller,$281.99,5,"$1,409.95",RTS,
TX,46,RadioMaster Pocket Transmitter,$95.99,15,"$1,439.85",NEW,
TX,46,GEPRC LINKFLOW 915MHz ELRS TX Module,$66.99,5,$334.95,NEW,
VTX,17,GEPRC RAD Mini 1W VTX,$69.99,20,"$1,399.80",,
VTX,17,HDZero Freestyle V2 1W VTX Kit,$221.99,2,$443.98,NEW,
VTX,17,DJI O4 Air Unit Lite,$159.99,4,$639.96,NEW,
VTX,17,TBS Unify Pro 5G8 HV VTX,$77.99,4,$311.96,NEW,
WORKBENCH,,RVS Multi 5in1 Screwdriver - 1.5-3.0+Prop,$34.99,2,$69.98,,
WORKBENCH,,Flywoo X30 PCBA Waterproof Superhydrophobic Invisible Spray,$36.99,8,$295.92,,
WORKBENCH,,Ethix Prop Multi Tool v1.5 - White,$21.99,2,$43.98,,
WORKBENCH,,Ethix Mini Chesty,$77.99,2,$155.98,,
