DRDC 3.5,LIST #,PART NAME,REF,NOTE,PER BUILD,BUILDS,TOTAL,,,,,,,,,,,,,,,,,
FRAME,11,Volador VX3 VX3.5 O3 Freestyle Frame Kit,Volador VX5 FPV Freestyle T700 Frame Kit – FlyFish RC,,1,15,15,,,,,,,,,,,,,,,,,
STACK,16,Borg 5S RX Stack (60RS 4-IN-1 ESC),https://shop.iflight.com/Borg-5S-RX-Stack-60RS-ESC-Pro2346?search=borg,BF & APM,1,15,15,,,,,,,,,,,,,,,,,
EXTRA FC,14,TAKER H743 BT Flight Controller,TAKER H743 BT Flight Controller - GEPRC,,1,15,10,,,,,,,,,,,,,,,,,
RX,21,GEPRC ELRS Nano 2.4G PA100 Receiver,GEPRC ELRS Nano 2.4G PA100 Receiver,2.4 only,2,15,30,,,,,,,,,,,,,,,,,
VTX,17,GEPRC MATEN 5.8G 2.5W VTX,https://geprc.com/product/geprc-maten-5-8g-2-5w-vtx/,Analog VTX,1,15,15,,,,,,,,,,,,,,,,,
CAM,18,CaddxFPV Gazer Analog Camera,CaddxFPV Gazer Analog Camera,DAY / NIGHT MODE,1,15,15,,,,,,,,,,,,,,,,,
GPS,29,SEQURE M10-18,GEP-M1025 Series GPS Module - GEPRC,M10-18,1,15,15,,,,,,,,,,,,,,,,,
MOTORS,23,FlyFishRC Flash 1804 3500KV Freestyle Motor,https://rotorvillage.ca/flyfishrc-flash-1804-3500kv-freestyle-motor/,,4,15,60,,,,,,,,,,,,,,,,,
PROPS,34,Gemfan 353D - 1.5mm Shaft,https://rotorvillage.ca/gemfan-353d-1-5mm-shaft-radioactive-green/,4 per vehicle,8,15,120,,,,,,,,,,,,,,,,,
ANTENNA GROUND,22,SINGULARITY 5.8,SINGULARITY 5.8 – TrueRC Canada,SMA LONG,4,15,60,,,,,,,,,,,,,,,,,
ANTENNA GROUND,22,GEPRC SOMA 5.8G Directional Flat-Panel Antenna,GEPRC SOMA 5.8G Directional Flat-Panel Antenna,VRX HIGH GAIN,2,15,30,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,SINGULARITY 5.8,SINGULARITY 5.8 – TrueRC Canada,RHCP MCCX,2,15,30,,,,,,,,,,,,,,,,,
BAT AIR,25,GNB 650mAh 6S HV - 160C - XT30,https://rotorvillage.ca/gnb-650mah-6s-hv-160c-xt30/,,6,15,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DRDC 5,LIST #,,,,,,,,,,,,,,,,,,,,,,,
FRAME,11,Volador VX5 FPV Freestyle T700 Frame Kit,Volador VX5 FPV Freestyle T700 Frame Kit – FlyFish RC,,1,15,15,,,,,,,,,,,,,,,,,
STACK,16,GEPRC TAKER H743 BT 32Bit 65A Stack,GEPRC TAKER H743 BT 32Bit 65A Stack,BF & APM,1,15,15,,,,,,,,,,,,,,,,,
EXTRA FC,14,TAKER H743 BT Flight Controller,TAKER H743 BT Flight Controller - GEPRC,,1,15,10,,,,,,,,,,,,,,,,,
RX,21,GEPRC ELRS Nano 2.4G PA100 Receiver,GEPRC ELRS Nano 2.4G PA100 Receiver,2.4 only,2,15,30,,,,,,,,,,,,,,,,,
VTX,17,GEPRC MATEN 5.8G 2.5W VTX,https://geprc.com/product/geprc-maten-5-8g-2-5w-vtx/,Analog VTX,1,15,15,,,,,,,,,,,,,,,,,
CAM,18,CaddxFPV Gazer Analog Camera,CaddxFPV Gazer Analog Camera,DAY / NIGHT MODE,1,15,15,,,,,,,,,,,,,,,,,
GPS,29,SEQURE M10-18,GEP-M1025 Series GPS Module - GEPRC,M10-18,1,15,15,,,,,,,,,,,,,,,,,
MOTORS,23,RCINPower AOS Supernova 2207 1980KV,RCINPower AOS Supernova 2207 1980KV - Rotor Village,2207-1980-KV 4 per vehicle,4,15,60,,,,,,,,,,,,,,,,,
PROPS,34,5127.5-3,HQProp 7.5X3.7X3 Propeller - GEPRC,4 per vehicle,8,15,120,,,,,,,,,,,,,,,,,
ANTENNA GROUND,22,SINGULARITY 5.8,SINGULARITY 5.8 – TrueRC Canada,SMA LONG,4,15,60,,,,,,,,,,,,,,,,,
ANTENNA GROUND,22,GEPRC SOMA 5.8G Directional Flat-Panel Antenna,GEPRC SOMA 5.8G Directional Flat-Panel Antenna,VRX HIGH GAIN,2,15,30,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,SINGULARITY 5.8,SINGULARITY 5.8 – TrueRC Canada,RHCP MCCX,2,15,30,,,,,,,,,,,,,,,,,
BAT AIR,25,Tattu R-Line V5.0 1480mAh 6S,https://genstattu.com/tattu-r-line-version-5-0-1480mah-6s-150c-22-2v-lipo-battery-pack-with-xt60-plug/?srsltid=AfmBOopvcX_viEFQmC-SQ3PSY6kBKvdINuSB_B1HMsPBg-bZnTjv1diX,6S 1200-1500mAh,6,15,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DRDC 7,,,,,,,,,,,,,,,,,,,,,,,,
FRAME,11,Mark4 7inch 295mm Mark4 V2 8/9/10inch 367/387/427mm Carbon Fiber Kit for RC FPV Racing Drone Quadcopter Freestyle DIY Toy Parts,Mark 4,,1,15,15,,,,,,,,,,,,,,,,,
STACK,16,GEPRC TAKER H743 BT 32Bit 65A Stack,GEPRC TAKER H743 BT 32Bit 65A Stack,BF & APM,1,15,15,,,,,,,,,,,,,,,,,
EXTRA FC,14,TAKER H743 BT Flight Controller,TAKER H743 BT Flight Controller - GEPRC,,1,15,15,,,,,,,,,,,,,,,,,
 8S MODE ESC,15,GEPRC TAKER H65_8S_32Bit 65A 4IN1 ESC,https://geprc.com/product/geprc-taker-h65_8s_32bit-65a-4in1-esc/,8S ESC,1,15,10,,,,,,,,,,,,,,,,,
RX,21,GEPRC ELRS DUAL 915M PA500 Diversity Receiver,GEPRC ELRS DUAL 915M PA500 Diversity Receiver,,1,15,15,,,,,,,,,,,,,,,,,
VTX,17,GEPRC MATEN 5.8G 2.5W VTX,https://geprc.com/product/geprc-maten-5-8g-2-5w-vtx/,Analog VTX,1,15,15,,,,,,,,,,,,,,,,,
CAM,18,CaddxFPV Gazer Analog Camera,CaddxFPV Gazer Analog Camera,CADDX GAZER,1,15,15,,,,,,,,,,,,,,,,,
GPS,29,SEQURE M10-18,GEP-M1025 Series GPS Module - GEPRC,M10-18,1,15,15,,,,,,,,,,,,,,,,,
MOTORS,23,GEPRC SPEEDX2 2809 1280KV Motor,GEPRC SPEEDX2 2809 1280KV Motor,2107-1960-KV 4 per vehicle,4,15,60,,,,,,,,,,,,,,,,,
PROPS,34,HQ 7.5 x 3.7 x 3,https://geprc.com/product/hqprop-7-5x3-7x3-propeller/,4 per vehicle,8,15,120,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,GEPRC 868MHz/915MHz 2.4G Tri-Band Stick Antenna,GEPRC 868MHz/915MHz 2.4G Tri-Band Stick Antenna,SMA,2,15,30,,,,,,,,,,,,,,,,,
ANTENNA AIR,22,GEPRC Momoda2 5.8G antenna,GEPRC Momoda2 5.8G antenna,RHCP / SMA 170,2,15,30,,,,,,,,,,,,,,,,,
ANTENNA GROUND,22,GEPRC SOMA 5.8G Directional Flat-Panel Antenna,GEPRC SOMA 5.8G Directional Flat-Panel Antenna,VRX ANT,1,15,15,,,,,,,,,,,,,,,,,
BAT AIR,25,GEPRC Storm 6S 3300mAh 95C Lipo Battery,GEPRC Storm 6S 3300mAh 95C Lipo Battery,,6,15,90,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DRDC 10,,,,,,,,,,,,,,,,,,,,,,,,
FRAME,11,GEP-EF10 Frame,https://geprc.com/product/gep-ef10-frame/,Extra qty for replacement parts.,1,15,15,,,,,,,,,,,,,,,,,
STACK,16,GEPRC TAKER H743 BT 32Bit 65A Stack,GEPRC TAKER H743 BT 32Bit 65A Stack,BF & APM,1,15,15,,,,,,,,,,,,,,,,,
EXTRA FC,14,TAKER H743 BT Flight Controller,TAKER H743 BT Flight Controller - GEPRC,,1,15,15,,,,,,,,,,,,,,,,,
 8S MODE ESC,15,GEPRC TAKER H65_8S_32Bit 65A 4IN1 ESC,https://geprc.com/product/geprc-taker-h65_8s_32bit-65a-4in1-esc/,8S ESC,1,15,15,,,,,,,,,,,,,,,,,
RX,21,GEPRC ELRS DUAL 915M PA500 Diversity Receiver,GEPRC ELRS DUAL 915M PA500 Diversity Receiver,,2,15,30,,,,,,,,,,,,,,,,,
VTX,17,GEPRC MATEN 5.8G 2.5W VTX,GEPRC MATEN 5.8G 2.5W VTX,MCCX,1,15,15,,,,,,,,,,,,,,,,,
